층_주_용도_코드,층_주_용도_코드_명
Z3208,사진관
Z3209,표구점
Z3210,학원
Z3212,동물병원
Z3214,독서실
Z3216,단란주점
Z3217,의약품도매점
Z3219,안마시술소
Z3220,노래연습장
Z3221,세탁소
Z3300,운동시설
Z3302,체력단련장
Z3304,볼링장
Z3305,당구장
Z3307,골프연습장
Z3399,기타운동시설
Z3400,종교집회장
Z3401,교회
Z3402,성당
Z3403,사찰
Z3499,기타종교집회장
Z3500,공연장
Z3501,극장(영화관)
Z3600,사무소
Z3601,금융업소
Z3602,사무소
Z3603,부동산중개업소
Z3699,기타사무소
Z3999,기타근린생활시설
Z5000,문화및집회시설
Z6000,판매및영업시설
Z6999,기타판매및영업시설
Z7001,축사
Z7002,가축시설
Z8000,교육연구및복지시설
Z8999,기타교육연구및복지시설
Z9999,기타공공용시설
a1999,
a5017,
b0001,
b0299,
b7010,
k3099,
n1001,
n1300,
점,
창,
홀,
,
